Tool,Type,Designator,x,y,L,R,T,B,Rotation,Layer,Info
altium,pin,C136,1050,1175,1009.5,1090.5,1190.5,1159.5,180,Bottom Layer,PinName:1;NetName:PHY_VDDCR;PinX:1070;PinY:1175
altium,pin,C136,1050,1175,1009.5,1090.5,1190.5,1159.5,180,Bottom Layer,PinName:2;NetName:DGND;PinX:1030;PinY:1175
altium,slk-des,C136,1000,1145,998,1099.968,1147,1115.009,180,Bottom Layer,NA
altium,pin,R48,1975,1590,1959.5,1990.5,1630.5,1549.5,90,Top Layer,PinName:1;NetName:LCDDE;PinX:1975;PinY:1570
altium,pin,R48,1975,1590,1959.5,1990.5,1630.5,1549.5,90,Top Layer,PinName:2;NetName:LCD_DE;PinX:1975;PinY:1610
altium,slk-des,R48,1790,1540,1760.009,1792,1616.642,1538,90,Top Layer,NA
altium,pin,R47,2025,1590,2009.5,2040.5,1630.5,1549.5,90,Top Layer,PinName:1;NetName:LCDVHYNC;PinX:2025;PinY:1570
altium,pin,R47,2025,1590,2009.5,2040.5,1630.5,1549.5,90,Top Layer,PinName:2;NetName:LCD_HSYNC;PinX:2025;PinY:1610
altium,slk-des,R47,1830,1540,1800.009,1832,1616.642,1538,90,Top Layer,NA
altium,pin,R46,2025,1730,2009.5,2040.5,1770.5,1689.5,90,Top Layer,PinName:1;NetName:LCDVSYNC;PinX:2025;PinY:1710
altium,pin,R46,2025,1730,2009.5,2040.5,1770.5,1689.5,90,Top Layer,PinName:2;NetName:LCD_VSYNC;PinX:2025;PinY:1750
altium,slk-des,R46,1870,1680,1840.009,1872,1756.642,1678,90,Top Layer,NA
altium,pin,R45,1975,1730,1959.5,1990.5,1770.5,1689.5,90,Top Layer,PinName:1;NetName:LCDPCLK;PinX:1975;PinY:1710
altium,pin,R45,1975,1730,1959.5,1990.5,1770.5,1689.5,90,Top Layer,PinName:2;NetName:LCD_PCLK;PinX:1975;PinY:1750
altium,slk-des,R45,1830,1680,1800.009,1832,1756.642,1678,90,Top Layer,NA
altium,pin,R28,1350,1095,1309.5,1390.5,1110.5,1079.5,180,Top Layer,PinName:1;NetName:U5_H18;PinX:1370;PinY:1095
altium,pin,R28,1350,1095,1309.5,1390.5,1110.5,1079.5,180,Top Layer,PinName:2;NetName:MII1_REFCLK;PinX:1330;PinY:1095
altium,slk-des,R28,1310,1040,1308,1386.642,1069.991,1038,0,Top Layer,NA
altium,pin,R21,1900,450,1884.5,1915.5,490.5,409.5,270,Bottom Layer,PinName:1;NetName:NetR21_1;PinX:1900;PinY:470
altium,pin,R21,1900,450,1884.5,1915.5,490.5,409.5,270,Bottom Layer,PinName:2;NetName:12MHZ;PinX:1900;PinY:430
altium,slk-des,R21,1875,490,1845.009,1877,492,422.688,90,Bottom Layer,NA
altium,pin,R18,1650,450,1634.5,1665.5,490.5,409.5,270,Bottom Layer,PinName:1;NetName:PROC_A15;PinX:1650;PinY:470
altium,pin,R18,1650,450,1634.5,1665.5,490.5,409.5,270,Bottom Layer,PinName:2;NetName:XDMA_EVENT_INTR0;PinX:1650;PinY:430
altium,slk-des,R18,1705,485,1675.009,1707,487,413.023,90,Bottom Layer,NA
altium,pin,R167,1612.5,1650,1597,1628,1690.5,1609.5,270,Bottom Layer,PinName:1;NetName:NetR167_1;PinX:1612.5;PinY:1670
altium,pin,R167,1612.5,1650,1597,1628,1690.5,1609.5,270,Bottom Layer,PinName:2;NetName:GPIO3_21;PinX:1612.5;PinY:1630
altium,slk-des,R167,1625,1600,1595.009,1627,1602,1500.032,90,Bottom Layer,NA
altium,pin,TP8,680,320,629.5,730.5,370.5,269.5,0,Top Layer,PinName:1;NetName:DGND;PinX:680;PinY:320
altium,slk-des,TP8,640,235,638,716.642,264.991,233,0,Top Layer,NA
altium,pin,TP7,680,420,629.5,730.5,470.5,369.5,0,Top Layer,PinName:1;NetName:NetTP7_1;PinX:680;PinY:420
altium,slk-des,TP7,640,475,638,716.642,504.991,473,0,Top Layer,NA
altium,pin,TP6,580,320,529.5,630.5,370.5,269.5,0,Top Layer,PinName:1;NetName:NetTP6_1;PinX:580;PinY:320
altium,slk-des,TP6,540,235,538,616.642,264.991,233,0,Top Layer,NA
altium,pin,TP5,580,420,529.5,630.5,470.5,369.5,0,Top Layer,PinName:1;NetName:NetTP5_1;PinX:580;PinY:420
altium,slk-des,TP5,540,475,538,616.642,504.991,473,0,Top Layer,NA
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:1;NetName:USB_DC;PinX:240;PinY:1674.51
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:5;NetName:DGND;PinX:240;PinY:1800.49
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:7;NetName:GND_EARTH;PinX:145.51;PinY:1902.85
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:6;NetName:GND_EARTH;PinX:145.51;PinY:1572.15
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:9;NetName:GND_EARTH;PinX:35.28;PinY:1842.81
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:8;NetName:GND_EARTH;PinX:35.28;PinY:1632.19
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:2;NetName:USB0_DM;PinX:240;PinY:1706
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:3;NetName:USB0_DP;PinX:240;PinY:1737.5
altium,pin,P4,121.89,1737.5,-20.34,269.56,1954.85,1520.15,180,Bottom Layer,PinName:4;NetName:USB0_ID;PinX:240;PinY:1769
altium,slk-des,P4,185,1970,115.055,188.3,2013.287,1966.7,0,Bottom Layer,NA
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:10;NetName:MMC0_CD;PinX:2819.13;PinY:1720.24
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:4;NetName:VDD_3V3B;PinX:3295.09;PinY:1770.72
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:2;NetName:MMC0_DAT3;PinX:3239.97;PinY:1770.72
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:1;NetName:MMC0_DAT2;PinX:3212.41;PinY:1770.72
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:8;NetName:MMC0_DAT1;PinX:3212.41;PinY:1199.28
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:7;NetName:MMC0_DAT0;PinX:3239.97;PinY:1199.28
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:5;NetName:MMC0_CLKO;PinX:3295.09;PinY:1199.28
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:3;NetName:MMC0_CMD;PinX:3267.53;PinY:1770.72
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:11;NetName:GND_EARTH;PinX:2911.82;PinY:1770.43
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:15;NetName:GND_EARTH;PinX:2799.5;PinY:1619.84
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:16;NetName:GND_EARTH;PinX:2799.5;PinY:1383.63
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:12;NetName:GND_EARTH;PinX:2963;PinY:1199.57
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:14;NetName:GND_EARTH;PinX:3344.89;PinY:1201.68
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:13;NetName:GND_EARTH;PinX:3344.89;PinY:1768.32
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:9;NetName:DGND;PinX:2819.13;PinY:1336.38
altium,pin,P10,3082.41,1485,2776,3399.91,1792.32,1177.68,90,Bottom Layer,PinName:6;NetName:DGND;PinX:3267.53;PinY:1199.28
altium,slk-des,P10,3355,1805,3251.732,3358.3,1848.287,1801.7,0,Bottom Layer,NA
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:4;NetName:DGND;PinX:2012;PinY:479.5
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:1;NetName:DGND;PinX:2012;PinY:420.5
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:5;NetName:UART0_TX;PinX:2128;PinY:479.5
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:6;NetName:UART0_RX;PinX:2128;PinY:459.8
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:8;NetName:VDD_3V3B;PinX:2128;PinY:420.5
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:7;NetName:VDD_3V3B;PinX:2128;PinY:440.2
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:2;NetName:B_UART0_RX;PinX:2012;PinY:440.2
altium,pin,U15,2070,450,1985,2155,492.5,407.5,270,Bottom Layer,PinName:3;NetName:B_UART0_TX;PinX:2012;PinY:459.8
altium,slk-des,U15,2110,370,2038.023,2112,399.991,368,0,Bottom Layer,NA
altium,pin,D8,2875,1175,2839.5,2910.5,1270.5,1109.5,90,Top Layer,PinName:1;NetName:HDMI_CEC;PinX:2875;PinY:1219.29
altium,pin,D8,2875,1175,2839.5,2910.5,1270.5,1109.5,90,Top Layer,PinName:2;NetName:HDMI_CEC_D;PinX:2875;PinY:1130.71
altium,slk-des,D8,2920,1160,2918,2968.651,1189.991,1158,0,Top Layer,NA
altium,pin,Y4,1587.5,1637.5,1524.5,1650.5,1700.5,1574.5,0,Top Layer,PinName:1;NetName:HDMICLK_DISN;PinX:1555;PinY:1607
altium,pin,Y4,1587.5,1637.5,1524.5,1650.5,1700.5,1574.5,0,Top Layer,PinName:3;NetName:NetR167_1;PinX:1620;PinY:1668
altium,pin,Y4,1587.5,1637.5,1524.5,1650.5,1700.5,1574.5,0,Top Layer,PinName:4;NetName:VDD_3V3A;PinX:1555;PinY:1668
altium,pin,Y4,1587.5,1637.5,1524.5,1650.5,1700.5,1574.5,0,Top Layer,PinName:2;NetName:DGND;PinX:1620;PinY:1607
altium,slk-des,Y4,1660,1625,1658,1708.651,1654.991,1623,0,Top Layer,NA
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:2;NetName:None;PinX:3193.31;PinY:927.01
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:13;NetName:DGND;PinX:3145.08;PinY:1013.62
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:4;NetName:DGND;PinX:3193.31;PinY:942.76
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:10;NetName:DGND;PinX:3193.31;PinY:990
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:16;NetName:DGND;PinX:3193.31;PinY:1037.24
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:7;NetName:DGND;PinX:3145.08;PinY:966.38
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:23;NetName:GND_EARTH;PinX:3200.4;PinY:1125.83
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:22;NetName:GND_EARTH;PinX:3200.4;PinY:854.17
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:19;NetName:DVI_+5V;PinX:3145.08;PinY:1060.87
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:17;NetName:HDMI_DSCL;PinX:3145.08;PinY:1045.12
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:18;NetName:HDMI_DSDA;PinX:3193.31;PinY:1052.99
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:1;NetName:HDMI_HPD;PinX:3145.08;PinY:919.13
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:15;NetName:HDMI_CEC;PinX:3145.08;PinY:1029.37
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:5;NetName:HDMI_TX2-;PinX:3145.08;PinY:950.63
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:3;NetName:HDMI_TX2+;PinX:3145.08;PinY:934.88
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:8;NetName:HDMI_TX1-;PinX:3193.31;PinY:974.25
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:6;NetName:HDMI_TX1+;PinX:3193.31;PinY:958.5
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:11;NetName:HDMI_TX0-;PinX:3145.08;PinY:997.87
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:9;NetName:HDMI_TX0+;PinX:3145.08;PinY:982.13
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:12;NetName:HDMI_TXC+;PinX:3193.31;PinY:1005.75
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:14;NetName:HDMI_TXC-;PinX:3193.31;PinY:1021.5
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:21;NetName:GND_EARTH;PinX:3332.68;PinY:1112.05
altium,pin,P6,3273.62,990,3126.35,3427.67,1175.075,804.925,90,Bottom Layer,PinName:20;NetName:GND_EARTH;PinX:3332.68;PinY:867.95
altium,slk-des,P6,3370,780,3300.055,3373.3,823.287,776.7,0,Bottom Layer,NA
altium,pin,L1,847.5,337.5,767,928,388,287,360,Bottom Layer,PinName:1;NetName:P_L1;PinX:892.5;PinY:337.5
altium,pin,L1,847.5,337.5,767,928,388,287,360,Bottom Layer,PinName:2;NetName:VDCDC1;PinX:802.5;PinY:337.5
altium,slk-des,L1,870,250,830.679,872,279.991,248,0,Bottom Layer,NA
altium,pin,L2,1010,337.5,929.5,1090.5,388,287,180,Bottom Layer,PinName:1;NetName:P_L2;PinX:965;PinY:337.5
altium,pin,L2,1010,337.5,929.5,1090.5,388,287,180,Bottom Layer,PinName:2;NetName:VDD_MPU;PinX:1055;PinY:337.5
altium,slk-des,L2,1032.5,250,983.848,1034.5,279.991,248,0,Bottom Layer,NA
altium,pin,L3,1137.5,600,1087,1188,680.5,519.5,90,Bottom Layer,PinName:1;NetName:P_L3;PinX:1137.5;PinY:645
altium,pin,L3,1137.5,600,1087,1188,680.5,519.5,90,Bottom Layer,PinName:2;NetName:VDD_CORE;PinX:1137.5;PinY:555
altium,slk-des,L3,1162.5,700,1113.849,1164.5,729.991,698,0,Bottom Layer,NA
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:6;NetName:None;PinX:1494;PinY:387.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:7;NetName:JTAG_TDO;PinX:1281;PinY:437.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:2;NetName:JTAG_TRSTN;PinX:1494;PinY:287.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:15;NetName:SYS_RESETN;PinX:1281;PinY:637.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:18;NetName:CLKOUT2;PinX:1494;PinY:687.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:17;NetName:XDMA_EVENT_INTR0;PinX:1281;PinY:687.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:8;NetName:DGND;PinX:1494;PinY:437.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:10;NetName:DGND;PinX:1494;PinY:487.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:12;NetName:DGND;PinX:1494;PinY:537.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:20;NetName:DGND;PinX:1494;PinY:737.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:16;NetName:DGND;PinX:1494;PinY:637.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:4;NetName:DGND;PinX:1494;PinY:337.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:1;NetName:JTAG_TMS;PinX:1281;PinY:287.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:3;NetName:JTAG_TDI;PinX:1281;PinY:337.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:9;NetName:JTAG_TCK;PinX:1281;PinY:487.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:11;NetName:JTAG_TCK;PinX:1281;PinY:537.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:13;NetName:JTAG_EMU0;PinX:1281;PinY:587.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:14;NetName:JTAG_EMU1;PinX:1494;PinY:587.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:5;NetName:VDD_3V3B;PinX:1281;PinY:387.5
altium,pin,P2,1387.5,512.5,1188,1582,815.591,262,270,Bottom Layer,PinName:19;NetName:MMC0_CD;PinX:1281;PinY:737.5
altium,slk-des,P2,1570,560,1566.7,1613.287,629.945,556.7,270,Bottom Layer,NA
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:E1;NetName:None;PinX:1224.21;PinY:1777.95
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:E10;NetName:None;PinX:1224.21;PinY:1600.79
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:M2;NetName:None;PinX:1086.42;PinY:1758.27
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:M3;NetName:None;PinX:1086.42;PinY:1738.58
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:P13;NetName:None;PinX:1047.05;PinY:1541.73
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:P12;NetName:None;PinX:1047.05;PinY:1561.42
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:P11;NetName:None;PinX:1047.05;PinY:1581.1
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:M7;NetName:None;PinX:1086.42;PinY:1659.84
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:M8;NetName:None;PinX:1086.42;PinY:1640.16
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:M9;NetName:None;PinX:1086.42;PinY:1620.47
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:M10;NetName:None;PinX:1086.42;PinY:1600.79
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:M11;NetName:None;PinX:1086.42;PinY:1581.1
altium,pin,U13,1175,1650,918.59,1431.41,1876.88,1423.12,270,Top Layer,PinName:A1;NetName:None;PinX:1302.95;PinY:1777.95
